judul,tanggal,konten,link
SPMB di Metro berjalan lancar,2025-07-09,"Metro (ANTARA) - Seleksi Penerimaan Siswa Baru (SPMB) tingkat Kota Metro tahun ini berjalan lancar dan sukses. Pelaksanaan seleksi yang digelar di sejumlah satuan pendidikan berlangsung tertib dengan antusiasme peserta yang tinggi. “Kami bersyukur proses SPMB di Kota Metro berjalan sukses, tertib dan sesuai prosedur. Ini hasil kerja sama semua pihak baik sekolah, pengawas, panitia, admin teknis, maupun dukungan orang tua,” kata Plt Kadisdikbud Metro, Deddy Hasmara, Rabu. Pihaknya mengaku terus memantau pelaksanaan seleksi guna memastikan seluruh peserta mengikuti tahapan dengan adil dan transparan. Deddy  juga menekankan pentingnya menjaga integritas proses seleksi demi mencetak generasi unggul. “SPMB ini bukan hanya soal masuk sekolah, tetapi bagian dari penataan kualitas pendidikan di Kota Metro. Oleh karena itu, kami sangat menjunjung transparansi dan kejujuran dalam setiap tahapannya,” ucapnya. Kepala Bidang Dikdas, Disdikbud Metro, Fezal Aferizal menuturkan, pelaksanaan SPMB tahun ini dilakukan secara transparan dan sesuai dengan petunjuk teknis yang telah ditetapkan. “Kami pastikan semua proses berjalan sesuai regulasi. Mulai dari jalur domisili, afirmasi, perpindahan tugas orang tua, hingga prestasi  semua diawasi secara ketat dan melalui sistem,” ujarnya. Ia menambahkan bahwa sistem pendaftaran online juga telah membantu mengurangi  praktik-praktik kecurangan dan meningkatkan akuntabilitas proses seleksi. “Kami membuka ruang pengaduan bagi masyarakat jika ditemukan indikasi penyimpangan. Bahkan saat daftar ulang pun yang terbukti pemalsuan wajib didiskualifikasi,"" tegasnya. Pemerintah Kota Metro melalui Dinas Pendidikan akan terus melakukan evaluasi terhadap pelaksanaan SPMB guna meningkatkan kualitas pelayanan pendidikan di tahun-tahun mendatang. Serta dapat menghasilkan lulusan-lulusan berkualitas yang akan melanjutkan jenjang pendidikan secara optimal dan berkontribusi bagi pembangunan daerah.",https://lampung.antaranews.com/berita/785909/spmb-di-metro-berjalan-lancar
"Polda Lampung paparkan hasil ekshumasi Brigpol EA, anggota Polres Way Kanan",2025-07-15,"Bandarlampung   (ANTARA) - Kepolisian Daerah (Polda) Lampung bersama Puslabfor Bareskrim Polri memaparkan hasil ekshumasi Brigpol EA, anggota Polsek Pakuan Ratu, Polres Way Kanan, yang meninggal pada Selasa (7/1) di rumahnya dalam kondisi telungkup di kamar mandi dengan luka besar di bagian leher. ""Ekshumasi telah dilakukan pada 17 Maret 2025 atas permintaan Polres Way Kanan,"" kata Karumkit RS Bhayangkara Polda Lampung AKBP dr Hidatatullah, di Bandarlampung, Selasa. Ia mengatakan bahwa dari hasil ekshumasi oleh Ahli Forensik Medio Kolegal RS Bhayangkara Polda Lampung dr Chatarina Andriyani pada jenazah Brigpol EA, ditemukan warna merah pada dahi, warna coklat di bagian belakang, warna coklat di bagian dada, luka lecet gore san di leher, dan luka terbuka di leher. ""Kemudian ada dua luka di leher akibat trauma benda tajam. Lalu hasil pemeriksaan fatalogy anatomy, ada luka yang ditemukan saat korban masih hidup"" katanya. Sementara itu, Ahli Toksikologi Fuslabfor Mabes Polri AKP Ade Laksono mengatakan, dari hasil pemeriksaan toksikologi, jenazah Brigadir EA dari beberapa organ seperti hati dan ginjal, terdeteksi ampetamin dan nikotin. ""Ampetamin merupakan kandungan dari narkoba jenis ekstasi, sedangkan nikotin berasal dari rokok atau liquid vafe. Zat tersebut beredar sebelum korban mengalami kematian. Sehingga hasil itu, sesuai dengan hipotesis, bahwa korban terpengaruh zat adiktif sebelum meninggal,"" kata dia. Kemudian, lanjut dia, dari pemeriksaan di tempat kejadian perkara (TKP), ditemukan beberapa bercak darah dan di lokasi hanya ditemukan dua sampel DNA yakni, Brigadir EA dan Novitasari yang merupakan istri korban. ""Sehingga dipastikan tidak ada orang lain, selain korban dan istrinya saat kejadian berlangsung,"" kata dia. Kapolres Way Kanan AKBP Adnan Mangopang mengatakan, pihaknya belum bisa memastikan penyebab kematian Brigadir EA, apakah menjadi korban pembunuhan atau akibat bunuh diri. ""Hari ini hanya menyampaikan hasil tindakan ekshumasi. Hasil ekshumasi akan dituangkan dalam bentuk verbal lisan atau berita acara pemeriksaan (BAP), sebagai keterangan ahli. Kemudian kami akan lanjutkan ke gelar perkara, untuk menentukan ini sebuah tindak pidana atau bukan, berdasarkan pasal 109 KUHAP,"" kata dia. Diketahui Brigpol EA, anggota Polres Way Kanan, Lampung, ditemukan tewas dengan luka sayatan di leher di rumahnya di Kampung Banjar Masin, Kecamatan Baradatu, pada Selasa (7/1). Kemudian, pada April Tim kuasa hukum keluarga Brigpol (EA), melaporkan Polres Waykanan ke Polda Lampung, karena dianggap tidak profesional dalam menangani kasus anggotanya yang diduga bunuh diri, namun tidak memberikan satu pun dokumen hukum kepada keluarga korban. Berita ini telah tayang di Antaranews.com dengan judul: Polda Lampung paparkan hasil ekshumasi Brigpol EA",https://lampung.antaranews.com/berita/786837/polda-lampung-paparkan-hasil-ekshumasi-brigpol-ea-anggota-polres-way-kanan
Dinsos Lampung: Cek kesehatan siswa SR bukan sistem gugur,2025-07-08,"Bandarlampung (ANTARA) - Dinas Sosial (Dinsos) Provinsi Lampung menyatakan bahwa pelaksanaan cek kesehatan bagi siswa Sekolah Rakyat di wilayahnya tidak menggunakan sistem gugur. ""Jadi, dalam proses perekrutan siswa Sekolah Rakyat ini bukan melaksanakan tes kesehatan, melainkan cek kesehatan dasar bagi siswa Sekolah Rakyat,"" ujar Kepala Dinas Sosial Provinsi Lampung Aswarodi di Bandarlampung, Selasa. Ia mengatakan cek kesehatan bagi siswa Sekolah Rakyat tersebut dilakukan untuk memastikan kesehatan dasar siswa sebelum memasuki asrama. ""Bentuknya adalah cek kesehatan dasar, maka tidak ada sistem gugur, dan ini harus dilakukan karena mereka akan tinggal di asrama,"" katanya. Dia menjelaskan bila ada siswa Sekolah Rakyat yang teridentifikasi memiliki masalah kesehatan, maka pemerintah akan memfasilitasi untuk disembuhkan. ""Jadi, kalau ada siswa yang sakit akan difasilitasi Rumah Sakit Umum Daerah Abdul Moeloek (RSUDAM) atau dinas kesehatan untuk diobati hingga sembuh,"" ucap dia. Tanggapan serupa juga disampaikan Kepala Sekolah Rakyat Menengah Atas (SRMA) 32 Lampung Selatan Asis Prasetyo. ""Sekolah Rakyat Menengah Atas (SRMA) Lampung Selatan ini jadi yang pertama, maka semua dipersiapkan dengan baik. Untuk cek kesehatan siswa meski ada yang sakit tetap akan jadi siswa, tidak ada sistem gugur,"" ujar Asis Prasetyo. Ia mengatakan bila siswa ternyata teridentifikasi terkena penyakit menular, maka siswa tersebut akan diobati hingga sembuh di tempat terpisah. Sedangkan kalau sakit ringan akan diobati di fasilitas kesehatan yang ada di Sekolah Rakyat. ""Tiga rombongan belajar yang diterima ini semua sudah pasti, tidak akan diganti meski ada yang teridentifikasi memiliki masalah kesehatan. Tidak gagal, tetapi kami obati hingga sembuh,"" ujarnya.",https://lampung.antaranews.com/berita/785685/dinsos-lampung-cek-kesehatan-siswa-sr-bukan-sistem-gugur
Sat Polairud Pesawaran gencarkan edukasi keselamatan laut,2025-07-02,"Bandarlampung   (ANTARA) - Satuan Polisi Air dan Udara (Sat Polairud) Polres Pesawaran terus menggencarkan kegiatan pembinaan masyarakat (Binmas) serta edukasi keselamatan laut langsung kepada nelayan dan pengguna transportasi laut. ""Kegiatan ini menjadi langkah antisipatif menyambut musim liburan dan potensi cuaca ekstrem di wilayah perairan Lampung, terutama di Dermaga Ketapang, Kecamatan Teluk Pandan, yang menjadi salah satu titik utama mobilitas masyarakat menuju destinasi wisata pulau-pulau sekitar di kabupaten ini,"" kata Kasat Polairud Polres Pesawaran AKP Suwartono, di Pesawaran, Rabu. Ia mengatakan edukasi yang diberikan oleh petugas terkait imbauan keselamatan serta kewajiban pengguna transportasi laut dan nelayan dalam menggunakan life jacket , pemeriksaan kondisi cuaca sebelum berlayar, serta pelaksanaan prosedur pelayaran yang sesuai standar. ""Keselamatan adalah hal utama. Kami ingatkan para pengguna jasa agar tidak mengabaikan protokol keamanan, terutama saat cuaca tidak menentu,"" ujarnya. Ia mengatakan dalam kegiatan ini Sat Polairud Pesawaran juga turut berkoordinasi secara rutin dengan Badan Meteorologi Klimatologi dan Geofisika (BMKG) Lampung guna mendapatkan informasi prakiraan cuaca terkini. ""Hal ini penting untuk mencegah kecelakaan laut akibat kondisi cuaca buruk yang sering datang tiba-tiba,"" kata dia. Ia menegaskan bahwa kegiatan ini merupakan bentuk nyata peran Polri dalam mencegah potensi gangguan keamanan laut sekaligus mendukung sektor pariwisata bahari yang aman dan nyaman. “Kami hadir memberikan edukasi dan imbauan langsung. Dengan kesiapsiagaan bersama, risiko bisa diminimalkan,” katanya. Baca juga: Wagub Lampung pastikan fokus pembangunan infrastruktur di Pesawaran Baca juga: BI siap kembangkan pariwisata ramah muslim di Pesawaran dan Lampung Selatan Baca juga: PLN Lampung hadirkan SPLU di Pesawaran untuk tingkatkan produktivitas petani",https://lampung.antaranews.com/berita/784597/sat-polairud-pesawaran-gencarkan-edukasi-keselamatan-laut
KUR BRI dukung pengembangan usaha tapis milik YR Tapis di Pringsewu,2025-07-10,"Bandarlampung (ANTARA) - Dukungan nyata Bank BRI melalui program Kredit Usaha Rakyat (KUR) kembali dirasakan manfaatnya oleh pelaku usaha lokal. Salah satunya adalah Usnilawati, owner YR Tapis, yang telah mengembangkan usaha kerajinan tapis khas Lampung sejak tahun 2019 berkat dukungan permodalan KUR BRI. YR Tapis merupakan usaha rumahan yang berlokasi di Kecamatan Pringsewu Timur, Kabupaten Pringsewu. Sejak awal berdiri, permodalan usahanya telah ditopang oleh fasilitas KUR BRI yang memberikan akses pembiayaan ringan dan terjangkau bagi pelaku UMKM. “Sejak usaha ini berdiri, saya langsung mengajukan KUR BRI untuk modal pengembangan. Alhamdulillah, sampai sekarang terus digunakan untuk memperluas produk dan inovasi,” ujar Usnilawati saat dihubungi dari Bandarlampung, Kamis. Salah satu momentum perkembangan besar bagi YR Tapis terjadi saat pandemi COVID-19 melanda. Di tengah keterbatasan, Usnilawati melakukan terobosan dengan memproduksi masker berbahan tapis, yang saat itu banyak dicari oleh masyarakat. Inovasi ini membuahkan hasil positif dan memperluas jangkauan pasar. Tak berhenti di sana, YR Tapis juga menggandeng salah satu perguruan tinggi swasta di Pringsewu untuk memproduksi selempang tapis khusus kelulusan mahasiswa. Kerja sama ini telah berjalan konsisten selama enam tahun terakhir. “Awalnya hanya tapis biasa, kemudian berkembang menjadi masker tapis saat pandemi, lalu selempang tapis, dan sekarang juga ada produk lain seperti baju, tas, dompet, peci, dan jilbab dengan sentuhan tapis,” kata Usnilawati pula. Berkat KUR BRI, YR Tapis tidak hanya tumbuh secara lokal, tapi juga telah memasarkan produknya ke berbagai provinsi di Indonesia melalui pameran-pameran UMKM. Bahkan, produk tapis dari YR Tapis pernah dijadikan cendera mata untuk tamu dari Turki, membuktikan kualitas dan daya tarik produknya di kancah internasional. Program KUR BRI adalah salah satu bentuk komitmen Bank BRI dalam mendorong pertumbuhan UMKM di Indonesia. Melalui KUR, pelaku usaha seperti Usnilawati dapat mengakses pembiayaan dengan mudah, bunga rendah, dan tenor yang fleksibel. KUR BRI terbagi menjadi beberapa jenis, seperti KUR Mikro dan KUR Kecil, yang disesuaikan dengan kebutuhan dan skala usaha masing-masing nasabah. Fasilitas ini telah menjadi motor penggerak utama dalam menciptakan wirausaha tangguh di berbagai daerah. Usnilawati berharap, dukungan seperti ini bisa terus berlanjut agar para perajin lokal bisa lebih berkembang dan berdaya saing. “Semoga BRI terus mendukung dan mendampingi pelaku UMKM, agar semua UMKM bisa terus maju, berinovasi, dan membawa budaya daerah ke tingkat nasional bahkan internasional,” katanya lagi. Baca juga: Keripik pisang Blessing binaan BRI sudah buka cabang di 12 provinsi Baca juga: KUR dan QRIS BRI beri kemudahan pengembangan UMKM",https://lampung.antaranews.com/berita/786101/kur-bri-dukung-pengembangan-usaha-tapis-milik-yr-tapis-di-pringsewu
Bupati Pringsewu ngopi serasi bersama masyarakat Margosari,2025-07-08,"Bandarlampung (ANTARA) - Acara Ngobrol Bareng Bupati Serap Aspirasi (Ngopi Serasi), untuk kali kedua dilaksanakan di Balai Pekon Margosari, Kecamatan Pagelaran Utara, Kabupaten Pringsewu. Bupati Pringsewu Riyanto Pamungkas menyatakan pihaknya berkomitmen menjangkau dan meningkatkan pelayanan kepada masyarakat, khususnya di pekon-pekon, serta menyejahterakan masyarakat dengan menyerap berbagai aspirasi yang disampaikan. “Terlepas aspirasi itu wewenangnya pusat, provinsi atau kabupaten, bahkan ada yang menjadi wewenang lintas sektoral. Aspirasi mana yang bisa kami selesaikan, mana yang kami bawa ke provinsi maupun pusat, ataupun yang membutuhkan koordinasi lintas vertikal,” ujarnya. Pihaknya menargetkan selama lima tahun, 126 pekon dan 5 kelurahan se-Kabupaten Pringsewu dapat dikunjungi dan diserap aspirasinya melalui kegiatan Ngopi Serasi tersebut. Pj Kapekon Margosari Suparman, pada kesempatan tersebut menyampaikan sekilas profil tentang Pekon Margosari. Pekon Margosari merupakan pekon terpadat di Kecamatan Pagelaran Utara, yakni sekitar 3.100 jiwa (985 kk). “Beberapa program Pekon Margosari, diantaranya adalah ketahanan pangan dan ekonomi, dimana kita berencana membangun pasar melalui dana desa,  guna meningkatkan perekonomian pekon. Serta pembentukan Koperasi Merah Putih,” ungkapnya. Pada kegiatan yang juga disiarkan secara langsung oleh Lembaga Penyiaran Publik Lokal (LPPL) Radio Siaran Pemerintah Daerah (Rapemda) Kabupaten Pringsewu FM 107,2 Mhz, Bupati Pringsewu Riyanto Pamungkas juga menyerahkan bantuan kepada sejumlah anak yatim warga pekon setempat. Turut mendampingi Bupati bersama Ketua TP-PKK Kabupaten Pringsewu Ny.Rahayu Sri Astutik Pamungkas, pada acara Ngopi Serasi hadir Asisten Pemerintahan dan Kesra Ihsan Hendrawan, Plt Asisten Perekonomian dan Pembangunan Hendrid, Staf Ahli Bupati Bidang Pemerintahan, Hukum dan Politik Hipni, Staf Ahli Bupati Bidang Kemasyarakatan dan SDM Titik Puji Lestari beserta para kepala perangkat daerah, bagian dan camat, kapekon serta tokoh masyarakat setempat.",https://lampung.antaranews.com/berita/785617/bupati-pringsewu-ngopi-serasi-bersama-masyarakat-margosari
Bupati Pringsewu wawancara calon direksi dan komisaris BUMD,2025-07-08,"Bandarlampung (ANTARA) - Bupati Pringsewu Riyanto Pamungkas melakukan pemanggilan wawancara terhadap para calon anggota Direksi dan Komisaris Badan Usaha Milik Daerah (BUMD) Kabupaten Pringsewu,  di Graha Pamungkas, Senin (7/7/25). Kegiatan ini merupakan bagian dari proses seleksi calon pimpinan BUMD Kabupaten Pringsewu. Wawancara langsung oleh Bupati menjadi momentum strategis untuk menggali visi, komitmen dan kompetensi para calon dalam memajukan kinerja dan tata kelola perusahaan daerah secara profesional dan akuntabel. Dalam arahannya, Bupati menekankan pentingnya integritas, inovasi dan semangat pelayanan publik dalam menjalankan fungsi sebagai direksi dan komisaris BUMD. Ia berharap para calon yang terpilih nantinya dapat membawa perubahan positif serta mampu memperkuat peran BUMD sebagai penggerak ekonomi daerah. ""BUMD harus dikelola secara profesional dengan tata kelola yang baik. Kita butuh figur yang tidak hanya mumpuni secara teknis, tetapi juga punya integritas dan komitmen tinggi untuk kemajuan daerah,"" ujar Bupati. Diharapkan, hasil dari seleksi ini akan menghasilkan jajaran direksi dan komisaris yang mampu mengelola BUMD secara efektif, efisien dan berkontribusi nyata bagi pembangunan Kabupaten Pringsewu.",https://lampung.antaranews.com/berita/785613/bupati-pringsewu-wawancara-calon-direksi-dan-komisaris-bumd
Polisi selidiki kasus temuan mayat tanpa kepala di Tanggamus,2025-07-16,"Tanggamus (ANTARA) - Kepolisian Sektor (Polsek) Limau menyelidiki kasus penemuan mayat pria tanpa kepala di pinggir pantai Cukuh Pandan, Pekon (Desa) Padang Ratu, Kecamatan Limau, Kabupaten Tanggamus, Lampung. Kapolsek Limau, Iptu Dedi Yanto, saat dihubungi dari Lampung Selatan, Rabu mengatakan penemuan mayat itu terjadi pada Selasa (15/7), pukul 15.10 WIB kemarin, dan hingga saat ini tim masih melakukan penyelidikan guna mengungkapkan penyebab kematian korban. ""Kami masih melakukan penyelidikan dan menunggu hasil pemeriksaan lebih lanjut guna memastikan penyebab kematian korban dan mengungkap identitasnya,"" kata dia. Ia menjelaskan, untuk mengungkap penyebab kematian korban, pihaknya sudah membawa mayat tersebut ke Rumah Sakit Bhayangkara Polda Lampung untuk dilakukan autopsi. “Jenazah anonim tersebut sudah dievakuasi ke RSUD Batin Mangunang Kota Agung untuk pemeriksaan awal. Selanjutnya dibawa ke RS Bhayangkara Polda Lampung guna keperluan autopsi,” katanya. Dirinya menerangkan, menurut keterangan saksi, mayat tersebut awalnya ditemukan warga di pinggir pantai Cukuh Pandan, Pekon Padang Ratu, Kecamatan Limau. ""Kemarin sekitar pukul 15.10 WIB kami menerima laporan adanya penemuan mayat laki-laki tanpa identitas di Pantai Cukuh Pandan. Saat ditemukan kondisi korban sudah rusak, tanpa kepala, pergelangan tangan kanan dan telapak kaki kanan juga hilang,"" ucapnya. Dari hasil pemeriksaan awal di lokasi, korban diketahui mengenakan kaos lengan panjang warna oranye, jaket merah polos, serta celana pendek kotak-kotak warna merah, namun identitas korban tidak diketahui. ""Kami segera mendatangi lokasi, melakukan olah TKP, meminta keterangan saksi, memasang garis polisi serta mengevakuasi jenazah,"" ujarnya. Baca juga: PLN salurkan bantuan sekolah untuk 150 anak yatim di Tanggamus Baca juga: Pertamina gelar operasi pasar LPG subsidi di Tanggamus Baca juga: Buaya pemangsa kakek di Sungai Semaka Tanggamus ditangkap",https://lampung.antaranews.com/berita/787029/polisi-selidiki-kasus-temuan-mayat-tanpa-kepala-di-tanggamus
Buaya pemangsa kakek di Sungai Semaka Tanggamus ditangkap,2025-07-04,"Tanggamus (ANTARA) - Seekor buaya muara sepanjang 4,5 meter yang diduga memangsa seorang kakek bernama Wasim (80) di Sungai Semaka, Kabupaten Tanggamus, Lampung berhasil ditangkap. Kapolsek Semaka AKP Sutarto saat dihubungi dari Lampung Selatan, Jumat, membenarkan penangkapan tersebut. Menurut dia, penangkapan itu merupakan tindak lanjut dari serangan buaya yang menewaskan kakek Wasim, warga RT 02 RW 01 Pekon Sripurnomo saat korban mandi di aliran Sungai Way Semaka pada Senin (30/6). ""Pada hari kemarin, Kamis, 3 Juli 2025, telah dilakukan penjeratan terhadap seekor buaya muara dan malam harinya pukul 20.00 WIB berhasil ditangkap. Hari ini, buaya itu dievakuasi dan akan dibawa ke PPS BKSDA Lampung,"" kata dia. Atas peristiwa itu, ia mengimbau masyarakat khususnya yang bermukim di sepanjang bantaran Sungai Way Semaka untuk lebih berhati-hati dan menghindari aktivitas di sekitar sungai guna mencegah hal-hal yang tidak diinginkan. ""Kami minta warga untuk tidak melakukan aktivitas di sekitar bantaran sungai demi keselamatan bersama,"" katanya. Salah satu petugas dari BKSDA Lampung Bengkul Yulizar menambahkan penangkapan itu terjadi setelah proses pemasangan jerat yang dilakukan sejak pukul 14.00 WIB di tiga titik lokasi berbeda. ""Hanya berselang sekitar lima jam setelah jerat terakhir dipasang, pada pukul 20.00 WIB buaya tersebut tertangkap,"" ucapnya. Menurut dia, buaya yang ditangkap itu berjenis kelamin jantan dengan panjang sekitar 4,5 meter dan diameter tubuh mencapai 60 cm. ""Umpan yang digunakan adalah bebek hidup. Jerat yang dipakai jenis jerat kolong dengan tali tambang,” ujarnya. Baca juga: Seorang kakek tewas diterkam buaya di Sungai Semaka Tanggamus Baca juga: Polisi edukasi warga Lampung Barat akan ancaman harimau Baca juga: Petugas evakuasi Harimau Sumatera yang masuk perangkap di Pesisir Barat",https://lampung.antaranews.com/berita/784941/buaya-pemangsa-kakek-di-sungai-semaka-tanggamus-ditangkap
Tim SAR gabungan cari warga yang tenggelam di Pantai Labuhan Jukung Krui,2025-07-09,"Pesisir Barat (ANTARA) - Tim SAR gabungan terus melakukan pencarian terhadap seorang warga Talang Buyut, Kotabumi, Kabupaten Lampung Utara yang dilaporkan tenggelam di Pantai Labuhan Jukung, Kecamatan Pesisir Tengah, Kabupaten Pesisir Barat Lampung pada Rabu Sore. Kepala Pelaksana BPBD Pesisir Barat Imam Habibbudin saat dihubungi dari Lampung Selatan, Rabu malam, mengatakan, korban adalah Aldi Suparman (40) warga Kabupaten Lampung Utara yang sedang berlibur bersama keluarganya di Pantai Labuhan Jukung Krui. “Begitu kami terima informasi dari warga, kami langsung turunkan tim. Pencarian dilakukan lewat jalur darat dan laut. Kita juga dibantu TNI dan Polri serta masyarakat setempat. Harapan kami, korban segera ditemukan dalam keadaan apapun,” kata dia. Ia menjelaskan, tim di lapangan berjibaku menyusuri area pantai menggunakan satu unit perahu dan peralatan menyelam. Hanya saja, dalam melakukan pencarian pihaknya terkendala ombak yang cukup besar sehingga menyulitkan petugas. Meskipun demikian, pihaknya tetap berjuang mencari keberadaan korban bahkan pencarian akan dilakukan pada malam hari. Menurut dia, korban bersama anak dan istrinya saat itu sedang bermain di tepian Pantai Labuhan Jukung, kemudian tiba-tiba ombak besar menyeret korban bersama keluarga. “Pada pukul 14.05 WIB satu keluarga terseret ombak saat mandi di laut. Dua di antaranya berhasil selamat, sementara sang kepala keluarga hingga kini masih dalam pencarian,” ucapnya.",https://lampung.antaranews.com/berita/785933/tim-sar-gabungan-cari-warga-yang-tenggelam-di-pantai-labuhan-jukung-krui
Pengunjung Lapas Curup ditangkap karena bawa lima paket sabu dalam nasi bungkus,2025-07-23,"Rejang Lebong, Bengkulu (ANTARA) - Aparat Kepolisian Resor (Polres) Rejang Lebong, Bengkulu, menangkap seorang pengunjung Lapas Kelas IIA Curup yang kedapatan membawa narkotika jenis sabu-sabu sebanyak lima paket. Kapolres Rejang Lebong AKBP Florentus Situngkir dalam keterangan tertulisnya di Rejang Lebong, Selasa, mengatakan pengunjung yang mencoba menyelundupkan narkotika jenis sabu-sabu tersebut berjenis kelamin perempuan berinisial Sa alias M (43) warga Kelurahan Dwi Tunggal, Kecamatan Curup, Kabupaten Rejang Lebong. ""Tersangka ditangkap Selasa tanggal 22 Juli 2025 sekitar pukul 10.00 WIB, dengan barang bukti yang diduga narkotika jenis sabu-sabu sebanyak lima paket. Barang bukti ini dimasukkan dalam nasi bungkus,"" kata dia. Dia menjelaskan, penangkapan tersangka ini bermula saat petugas Lapas Kelas IIA Curup sedang melakukan pemeriksaan terhadap barang bawaan milik keluarga dari warga binaan pemasyarakatan (WBP) Lapas Kelas IIA Curup yang akan melakukan kunjungan. ""Petugas melakukan pemeriksaan terhadap barang bawaan pengunjung berupa nasi putih yang dimasukkan dalam kantong plastik bening, dan menemukan barang yang dicurigai. Petugas kemudian membuka bungkusan nanti itu dan mendapati lima paket narkotika jenis sabu-sabu,"" katanya. Petugas Lapas Kelas IIA Curup yang mendapati barang ini langsung melaporkannya kepada Bhabinkamtibmas dan anggota Sat Tahti Polres Rejang Lebong yang sedang melakukan pengamanan di Lapas Kelas IIA Curup, dan meneruskannya ke petugas Satres Narkoba Polres Rejang Lebong. Tersangka Sa alias M yang membawa narkotika itu sendiri bersama dengan suaminya J yang merupakan WBP atau narapidana Lapas Kelas IIA Curup ini langsung dibawa oleh petugas Satres Narkoba Polres Rejang Lebong ke Mapolres Rejang Lebong untuk menjalani pemeriksaan. Dia mengimbau kalangan masyarakat Rejang Lebong yang mengetahui adanya kasus peredaran dan penyalahgunaan narkotika agar segera dilaporkan kepada petugas kepolisian terdekat sehingga bisa langsung ditindaklanjuti.",https://lampung.antaranews.com/berita/788293/pengunjung-lapas-curup-ditangkap-karena-bawa-lima-paket-sabu-dalam-nasi-bungkus
Bengkulu salurkan 130 ambulans gratis ke desa-desa,2025-07-16,"Bengkulu (ANTARA) - Pemerintah Provinsi Bengkulu menyalurkan bantuan sebanyak 130 ambulans gratis untuk desa-desa yang ada di provinsi berjuluk Bumi Merah Putih itu. ""Ambulans sudah mulai tiba dan segera disalurkan. Kita sudah rapatkan teknisnya dan siap untuk direalisasikan,” kata Penjabat Sekretaris Daerah Provinsi Bengkulu Herwan Antoni di Bengkulu, Rabu. Penyaluran ambulans gratis kali ini merupakan pendistribusian tahap pertama dari program kesehatan yang diusung Pasangan Gubernur Bengkulu Helmi Hasan-Mian periode 2025-2030. Program tersebut merupakan upaya pemerintah untuk meningkatkan akses layanan kesehatan bagi wilayah pedesaan. Dengan adanya unit ambulans gratis di desa-desa, menurut Herwan Antoni diharapkan dapat mempermudah masyarakat dalam mendapatkan pelayanan kesehatan darurat maupun pengantaran jenazah. Selain itu, lanjut dia ambulans juga dapat difungsikan sebagai sarana mobilisasi dalam kegiatan sosial kemasyarakatan, serta bantuan saat terjadi bencana atau kejadian luar biasa. Pelaksana Tugas Kepala Dinas Kesehatan Provinsi Bengkulu Edriwan Mansyur menjelaskan bahwa proses pendistribusian ambulans dilakukan secara bertahap. “Ambulans ini diperuntukkan bagi satu desa di setiap kecamatan. Nantinya, Gubernur akan menyerahkannya kepada para bupati, dan pihak kabupaten yang akan menyalurkan ke desa-desa yang telah ditetapkan. Sopirnya juga akan mendapat pelatihan dasar terkait pengoperasian ambulans,"" kata Edriwan. Menurut dia sopir dan penanggung jawab kendaraan akan disiapkan oleh pihak desa, termasuk pembiayaan operasional ambulans. Sebelumnya, Gubernur Bengkulu Helmi Hasan menyatakan penyaluran bantuan ambulans gratis yang merupakan program ""Bantu Rakyat"" Provinsi Bengkulu diharapkan memberikan kemudahan-kemudahan bagi masyarakat. Mobil ambulans bantuan tersebut tidak hanya untuk mobil layanan kesehatan semata, tapi juga dapat digunakan untuk mobil kegiatan sosial lainnya bagi masyarakat desa. Ambulans tersebut juga selaras dengan upaya pemerintah pusat yang menyalurkan bantuan bagi desa berupa Koperasi Merah Putih, klinik, truk, gudang dan tempat penyimpanan dingin untuk desa.",https://lampung.antaranews.com/berita/787033/bengkulu-salurkan-130-ambulans-gratis-ke-desa-desa
